name,Pc,oc,s2,oi2,oi4,oi5
petst.,56,100,5.7,5.7,94.3,0
person,50,100,11.2,11.2,0,88.8
gestao,77.1,100,1.2,1.2,98.3,0.4
restful,71.9,100,0,0,100,0
user,98.4,100,1.1,1.1,5.6,93.3
market,76.5,100,0,0,57.1,42.9
project,60,100,2.1,2,85.7,12.3
car,NA,100,NA,NA,NA,NA
langto.,0,100,8.4,8.4,91.6,0
xkcd,100,100,70.6,70.6,29.4,0
scs,100,100,98.2,98.2,1.8,0
ncs,100,100,54.5,54.5,45.5,0
restc,100,100,5.7,5.7,94.1,0.2
,74,100,22,22,59,20
