name , Pc ,oc, s2 , oi2 , oi4 , oi5
petst. ,80,95,97.4,95.8,0.9,3.3
person ,50,92,1.4,1.5,0,98.5
gestao ,77.1,100,51.1,34.5,35.7,29.8
restful ,28.1,100,8.4,8.4,8.5,83.1
user , NA ,NA, NA , NA , NA , NA
market ,76.5,100,0,0,0,100
project ,30,63,45.8,45.8,0,54.2
car , NA ,NA, NA , NA , NA , NA
langto. ,0,50,100,100,0,0
xkcd ,0,100,100,100,0,0
scs ,100,100,100,100,0,0
ncs ,100,100,100,100,0,0
restc ,94.1,96,73.3,73.3,0,26.7
,58,91,62,60,4,36
