name,Pc,oc,s2,oi2,oi4,oi5
petst.,100,100,100,100,0,0
person,100,100,60.8,62.3,0,26.1
gestao,100,100,82,91.8,7.6,0
restful,100,100,46.9,53.1,12.2,3.7
user,100,100,29,40.4,0,39.4
market,100,100,8.3,51.3,24,20
project,100,100,0,14.1,39.4,0
car,100,100,57,57,42,0.7
langto.,100,100,80,80,20,0
xkcd,100,100,100,100,0,0
scs,100,100,100,100,0,0
ncs,100,100,50,50,50,0
restc,100,100,38.75,38.8,61.3,0
,100,100,58,65,20,7
